Sequence Name, SI, TI
BBasketballS2YonseiUniversity_1920x1088_30fps_10bit_420.yuv,4.80E+01,1.15E+01
BBasketballS3YonseiUniversity_1920x1088_30fps_10bit_420.yuv,4.78E+01,1.29E+01
BBoatsChaoPhrayaRiverVidevo_1920x1088_23fps_10bit_420.yuv,4.74E+01,1.24E+01
BBobbleheadBVIHFR_1920x1088_120fps_10bit_420.yuv,3.52E+01,2.24E+01
BBookcaseBVITexture_1920x1088_120fps_10bit_420.yuv,6.25E+01,4.90E+01
BBoxingPracticeHarmonics_1920x1088_60fps_10bit_420.yuv,6.15E+01,1.73E+01
BBricksBushesStaticBVITexture_1920x1088_120fps_10bit_420.yuv,1.24E+02,7.62E+00
BBricksLeavesBVITexture_1920x1088_120fps_10bit_420.yuv,1.22E+02,1.41E+01
BBricksTiltingBVITexture_1920x1088_120fps_10bit_420.yuv,1.13E+02,1.84E+01
BBubblesPitcherS1BVITexture_1920x1088_120fps_10bit_420.yuv,1.41E+01,4.72E+00
BBuildingRoofS1IRIS_1920x1088_24fps_10bit_420.yuv,4.13E+01,1.97E+01
BBuildingRoofS2IRIS_1920x1088_24fps_10bit_420.yuv,7.57E+01,3.08E+01
BBuildingRoofS3IRIS_1920x1088_24fps_10bit_420.yuv,6.41E+01,1.81E+01
BBuildingRoofS4IRIS_1920x1088_24fps_10bit_420.yuv,6.21E+01,3.01E+01
BBuntingHangingAcrossHongKongVidevo_1920x1088_25fps_10bit_420.yuv,5.40E+01,1.36E+01
BBusyHongKongStreetVidevo_1920x1088_25fps_10bit_420.yuv,7.13E+01,2.43E+01
BCalmingWaterBVITexture_1920x1088_120fps_10bit_420.yuv,5.45E+01,2.57E+01
BCarpetPanAverageBVITexture_1920x1088_120fps_10bit_420.yuv,2.83E+01,1.68E+01
BCatchBVIHFR_1920x1088_120fps_10bit_420.yuv,7.95E+01,6.24E+00
BCeramicsandSpicesMoroccoVidevo_1920x1088_50fps_10bit_420.yuv,5.71E+01,1.15E+01
BCharactersYonseiUniversity_1920x1088_30fps_10bit_420.yuv,9.56E+01,3.33E+01
BChristmasPresentsIRIS_1920x1088_24fps_10bit_420.yuv,6.48E+01,2.75E+01
BChristmasRoomDareful_1920x1088_29fps_10bit_420.yuv,6.21E+01,5.55E+00
BChurchInsideMCLJCV_1920x1088_30fps_10bit_420.yuv,5.64E+01,1.23E+01
BCityScapesS1IRIS_1920x1088_24fps_10bit_420.yuv,6.11E+01,2.95E+01
BCityScapesS2IRIS_1920x1088_24fps_10bit_420.yuv,6.31E+01,2.32E+01
BCityScapesS3IRIS_1920x1088_24fps_10bit_420.yuv,6.18E+01,2.32E+01
BCityStreetS1IRIS_1920x1088_24fps_10bit_420.yuv,6.67E+01,3.33E+01
BCityStreetS3IRIS_1920x1088_24fps_10bit_420.yuv,8.15E+01,1.02E+01
BCityStreetS4IRIS_1920x1088_24fps_10bit_420.yuv,7.43E+01,3.63E+01
BCityStreetS5IRIS_1920x1088_24fps_10bit_420.yuv,6.31E+01,4.34E+01
BCityStreetS6IRIS_1920x1088_24fps_10bit_420.yuv,6.32E+01,4.17E+01
BCityStreetS7IRIS_1920x1088_24fps_10bit_420.yuv,6.42E+01,2.26E+01
BCloseUpBasketballSceneVidevo_1920x1088_25fps_10bit_420.yuv,6.93E+01,2.37E+01
BCloudsStaticBVITexture_1920x1088_120fps_10bit_420.yuv,1.82E+01,9.13E-01
BColourfulDecorationWatPhoVidevo_1920x1088_50fps_10bit_420.yuv,5.44E+01,1.42E+01
BColourfulKoreanLanternsVidevo_1920x1088_50fps_10bit_420.yuv,4.07E+01,1.36E+01
BColourfulPaperLanternsVidevo_1920x1088_50fps_10bit_420.yuv,7.71E+01,1.77E+01
BColourfulRugsMoroccoVidevo_1920x1088_50fps_10bit_420.yuv,6.16E+01,1.95E+01
BConstructionS2YonseiUniversity_1920x1088_30fps_10bit_420.yuv,7.34E+01,2.05E+01
BCostaRicaS3Harmonics_1920x1088_60fps_10bit_420.yuv,9.51E+01,1.23E+01
BCrosswalkHarmonics_1920x1088_60fps_10bit_420.yuv,3.24E+01,1.56E+01
BCrosswalkHongKong2S1Videvo_1920x1088_25fps_10bit_420.yuv,6.56E+01,2.58E+01
BCrosswalkHongKong2S2Videvo_1920x1088_25fps_10bit_420.yuv,5.80E+01,2.69E+01
BCrosswalkHongKongVidevo_1920x1088_25fps_10bit_420.yuv,5.22E+01,2.06E+01
BCrowdRunMCLV_1920x1088_25fps_10bit_420.yuv,8.16E+01,2.82E+01
BCyclistS1BVIHFR_1920x1088_120fps_10bit_420.yuv,6.40E+01,2.97E+01
BCyclistVeniceBeachBoardwalkVidevo_1920x1088_25fps_10bit_420.yuv,5.14E+01,1.66E+01
BDollsScene1YonseiUniversity_1920x1088_30fps_10bit_420.yuv,3.79E+01,1.77E+01
BDollsScene2YonseiUniversity_1920x1088_30fps_10bit_420.yuv,3.99E+01,2.61E+01
BDowntownHongKongVidevo_1920x1088_25fps_10bit_420.yuv,7.25E+01,2.12E+01
BDrivingPOVHarmonics_1920x1088_60fps_10bit_420.yuv,6.63E+01,1.60E+01
BDropsOnWaterBVITexture_1920x1088_120fps_10bit_420.yuv,6.93E+01,4.20E+01
BElFuenteMaskLIVENetFlix_1920x1088_24fps_10bit_420.yuv,7.09E+01,3.65E+01
BEnteringHongKongStallS1Videvo_1920x1088_25fps_10bit_420.yuv,5.83E+01,1.98E+01
BEnteringHongKongStallS2Videvo_1920x1088_25fps_10bit_420.yuv,5.76E+01,2.40E+01
BFerrisWheelTurningVidevo_1920x1088_50fps_10bit_420.yuv,6.91E+01,2.30E+01
BFireS18Mitch_1920x1088_24fps_10bit_420.yuv,3.01E+01,5.73E+01
BFireS21Mitch_1920x1088_24fps_10bit_420.yuv,3.02E+01,6.90E+01
BFireS71Mitch_1920x1088_24fps_10bit_420.yuv,3.83E+01,5.41E+01
BFirewoodS1IRIS_1920x1088_24fps_10bit_420.yuv,2.73E+01,1.82E+01
BFirewoodS2IRIS_1920x1088_25fps_10bit_420.yuv,2.35E+01,3.47E+01
BFitnessIRIS_1920x1088_24fps_10bit_420.yuv,3.27E+01,1.85E+01
BFjordsS1Harmonics_1920x1088_60fps_10bit_420.yuv,5.98E+01,5.54E+00
BFlagShootTUMSVT_1920x1088_50fps_10bit_420.yuv,3.63E+01,1.09E+01
BFlowerChapelS1IRIS_1920x1088_24fps_10bit_420.yuv,6.10E+01,1.93E+01
BFlowerChapelS2IRIS_1920x1088_24fps_10bit_420.yuv,6.56E+01,1.51E+01
BFlyingCountrysideDareful_1920x1088_29fps_10bit_420.yuv,9.63E+01,2.80E+01
BFlyingMountainsDareful_1920x1088_29fps_10bit_420.yuv,7.15E+01,2.00E+01
BFlyingThroughLAStreetVidevo_1920x1088_23fps_10bit_420.yuv,6.48E+01,1.03E+01
BFungusZoomBVITexture_1920x1088_120fps_10bit_420.yuv,6.31E+01,5.76E+00
BGrassBVITexture_1920x1088_120fps_10bit_420.yuv,8.89E+01,4.19E+00
BGrazTowerIRIS_1920x1088_24fps_10bit_420.yuv,7.53E+01,2.36E+01
BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,6.05E+01,1.89E+01
BHarleyDavidsonIRIS_1920x1088_24fps_10bit_420.yuv,7.38E+01,2.36E+01
BHongKongIslandVidevo_1920x1088_25fps_10bit_420.yuv,5.16E+01,1.98E+01
BHongKongMarket1Videvo_1920x1088_25fps_10bit_420.yuv,5.56E+01,1.81E+01
BHongKongMarket2Videvo_1920x1088_25fps_10bit_420.yuv,5.49E+01,2.21E+01
BHongKongMarket3S1Videvo_1920x1088_25fps_10bit_420.yuv,5.85E+01,2.18E+01
BHongKongMarket3S2Videvo_1920x1088_25fps_10bit_420.yuv,5.50E+01,2.64E+01
BHongKongMarket4S1Videvo_1920x1088_25fps_10bit_420.yuv,6.07E+01,2.20E+01
BHongKongMarket4S2Videvo_1920x1088_25fps_10bit_420.yuv,5.96E+01,2.64E+01
BHongKongS1Harmonics_1920x1088_60fps_10bit_420.yuv,5.98E+01,8.70E+00
BHongKongS2Harmonics_1920x1088_60fps_10bit_420.yuv,5.80E+01,1.34E+01
BHongKongS3Harmonics_1920x1088_60fps_10bit_420.yuv,6.83E+01,1.09E+01
BHorseDrawnCarriagesVidevo_1920x1088_50fps_10bit_420.yuv,4.19E+01,1.44E+01
BHorseStaringS1Videvo_1920x1088_50fps_10bit_420.yuv,4.25E+01,2.44E+01
BHorseStaringS2Videvo_1920x1088_50fps_10bit_420.yuv,4.19E+01,1.49E+01
BJockeyHarmonics_1920x1088_120fps_10bit_420.yuv,4.19E+01,2.48E+01
BJoggersS1BVIHFR_1920x1088_120fps_10bit_420.yuv,4.77E+01,2.82E+01
BJoggersS2BVIHFR_1920x1088_120fps_10bit_420.yuv,4.95E+01,2.44E+01
BKartingIRIS_1920x1088_24fps_10bit_420.yuv,6.47E+01,4.69E+01
BKoraDrumsVidevo_1920x1088_25fps_10bit_420.yuv,5.05E+01,3.30E+01
BLakeYonseiUniversity_1920x1088_30fps_10bit_420.yuv,7.03E+01,1.38E+01
BLampLeavesBVITexture_1920x1088_120fps_10bit_420.yuv,1.09E+02,1.68E+01
BLaundryHangingOverHongKongVidevo_1920x1088_25fps_10bit_420.yuv,5.95E+01,2.50E+01
BLeaves1BVITexture_1920x1088_120fps_10bit_420.yuv,1.22E+02,8.42E+00
BLeaves3BVITexture_1920x1088_120fps_10bit_420.yuv,9.27E+01,6.23E+00
BLowLevelShotAlongHongKongVidevo_1920x1088_25fps_10bit_420.yuv,6.52E+01,1.50E+01
BLungshanTempleS1Videvo_1920x1088_50fps_10bit_420.yuv,5.86E+01,1.70E+01
BLungshanTempleS2Videvo_1920x1088_50fps_10bit_420.yuv,6.13E+01,1.65E+01
BManMoTempleVidevo_1920x1088_25fps_10bit_420.yuv,2.43E+01,1.45E+01
BManStandinginProduceTruckVidevo_1920x1088_25fps_10bit_420.yuv,5.81E+01,2.29E+01
BManWalkingThroughBangkokVidevo_1920x1088_25fps_10bit_420.yuv,5.82E+01,5.22E+00
BMaplesS1YonseiUniversity_1920x1088_30fps_10bit_420.yuv,1.20E+02,4.56E+01
BMaplesS2YonseiUniversity_1920x1088_30fps_10bit_420.yuv,1.08E+02,4.86E+01
BMirabellParkS1IRIS_1920x1088_24fps_10bit_420.yuv,7.61E+01,2.91E+01
BMirabellParkS2IRIS_1920x1088_24fps_10bit_420.yuv,6.44E+01,2.72E+01
BMobileHarmonics_1920x1088_60fps_10bit_420.yuv,8.29E+01,2.57E+01
BMoroccanCeramicsShopVidevo_1920x1088_50fps_10bit_420.yuv,8.07E+01,1.57E+01
BMoroccanSlippersVidevo_1920x1088_50fps_10bit_420.yuv,5.31E+01,1.56E+01
BMuralPaintingVidevo_1920x1088_25fps_10bit_420.yuv,3.27E+01,1.39E+01
BMyanmarS4Harmonics_1920x1088_60fps_10bit_420.yuv,1.16E+02,6.71E+00
BMyanmarS6Harmonics_1920x1088_60fps_10bit_420.yuv,6.97E+01,1.96E+01
BMyeongDongVidevo_1920x1088_25fps_10bit_420.yuv,8.80E+01,2.19E+01
BNewYorkStreetDareful_1920x1088_30fps_10bit_420.yuv,8.62E+01,7.46E+00
BOrangeBuntingoverHongKongVidevo_1920x1088_25fps_10bit_420.yuv,6.20E+01,1.79E+01
BPaintingTiltingBVITexture_1920x1088_120fps_10bit_420.yuv,1.44E+02,3.21E+01
BParkViolinMCLJCV_1920x1088_25fps_10bit_420.yuv,8.39E+01,1.50E+01
BPedestriansSeoulatDawnVidevo_1920x1088_25fps_10bit_420.yuv,8.49E+01,1.99E+01
BPeopleWalkingS1IRIS_1920x1088_24fps_10bit_420.yuv,7.72E+01,2.68E+01
BPersonRunningOutsideVidevo_1920x1088_50fps_10bit_420.yuv,5.47E+01,1.36E+01
BPillowsTransBVITexture_1920x1088_120fps_10bit_420.yuv,1.22E+02,1.24E+01
BPlasmaFreeBVITexture_1920x1088_120fps_10bit_420.yuv,4.85E+01,1.45E+01
BPresentsChristmasTreeDareful_1920x1088_29fps_10bit_420.yuv,4.72E+01,1.05E+01
BReadySetGoS2TampereUniversity_1920x1088_120fps_10bit_420.yuv,5.16E+01,2.75E+01
BResidentialBuildingSJTU_1920x1088_60fps_10bit_420.yuv,7.98E+01,1.32E+01
BrickCutHighSpeedHighGran_300frames_1920x1080.yuv,1.47E+01,1.59E+01
BrickCutHighSpeedLowGran_300frames_1920x1080.yuv,1.83E+01,1.94E+01
BrickCutHighSpeedMedGran_300frames_1920x1080.yuv,1.37E+01,1.78E+01
BrickCutLowSpeedHighGran_300frames_1920x1080.yuv,2.80E+01,1.30E+01
BrickCutLowSpeedLowGran_300frames_1920x1080.yuv,3.52E+01,1.79E+01
BrickCutLowSpeedMedGran_300frames_1920x1080.yuv,2.81E+01,1.49E+01
BrickCutMedSpeedHighGran_300frames_1920x1080.yuv,2.11E+01,1.54E+01
BrickCutMedSpeedLowGran_300frames_1920x1080.yuv,2.58E+01,1.94E+01
BrickCutMedSpeedMedGran_300frames_1920x1080.yuv,2.09E+01,1.77E+01
BrickHewnHighSpeedHighGran_300frames_1920x1080.yuv,3.12E+01,1.70E+01
BrickHewnHighSpeedLowGran_300frames_1920x1080.yuv,2.83E+01,1.55E+01
BrickHewnHighSpeedMedGran_300frames_1920x1080.yuv,2.67E+01,1.69E+01
BrickHewnLowSpeedHighGran_300frames_1920x1080.yuv,3.64E+01,9.18E+00
BrickHewnLowSpeedLowGran_300frames_1920x1080.yuv,4.20E+01,1.28E+01
BrickHewnLowSpeedMedGran_300frames_1920x1080.yuv,3.36E+01,9.98E+00
BrickHewnMedSpeedHighGran_300frames_1920x1080.yuv,3.44E+01,1.37E+01
BrickHewnMedSpeedLowGran_300frames_1920x1080.yuv,3.45E+01,1.43E+01
BrickHewnMedSpeedMedGran_300frames_1920x1080.yuv,3.06E+01,1.34E+01
BRollerCoaster2Netflix_1920x1088_60fps_10bit_420.yuv,3.81E+01,2.44E+01
BRunnersSJTU_1920x1088_60fps_10bit_420.yuv,7.72E+01,1.78E+01
BRuralSetupIRIS_1920x1088_24fps_10bit_420.yuv,6.12E+01,2.72E+01
BRuralSetupS2IRIS_1920x1088_24fps_10bit_420.yuv,4.54E+01,2.63E+01
BScarfSJTU_1920x1088_60fps_10bit_420.yuv,6.09E+01,2.96E+01
BSeasideWalkIRIS_1920x1088_24fps_10bit_420.yuv,6.14E+01,1.19E+01
BSeekingMCLV_1920x1088_25fps_10bit_420.yuv,6.00E+01,4.12E+01
BSeoulCanalatDawnVidevo_1920x1088_25fps_10bit_420.yuv,4.39E+01,1.50E+01
BShoppingCentreVidevo_1920x1088_25fps_10bit_420.yuv,7.01E+01,2.57E+01
BSignboardBoatLIVENetFlix_1920x1088_30fps_10bit_420.yuv,7.48E+01,4.05E+01
BSkyscraperBangkokVidevo_1920x1088_23fps_10bit_420.yuv,7.84E+01,2.30E+01
BSmokeClearBVITexture_1920x1088_120fps_10bit_420.yuv,1.98E+01,1.21E+01
BSmokeS45Mitch_1920x1088_24fps_10bit_420.yuv,2.78E+01,1.52E+00
BSparklerBVIHFR_1920x1088_120fps_10bit_420.yuv,6.66E+01,5.04E+01
BSquareAndTimelapseHarmonics_1920x1088_60fps_10bit_420.yuv,7.09E+01,2.49E+01
BSquareS1IRIS_1920x1088_24fps_10bit_420.yuv,8.12E+01,3.37E+01
BSquareS2IRIS_1920x1088_24fps_10bit_420.yuv,5.63E+01,2.33E+01
BStreetArtVidevo_1920x1088_30fps_10bit_420.yuv,8.12E+01,3.47E+01
BStreetDancerS1IRIS_1920x1088_24fps_10bit_420.yuv,7.79E+01,2.05E+01
BStreetDancerS2IRIS_1920x1088_24fps_10bit_420.yuv,3.22E+01,2.53E+01
BStreetDancerS3IRIS_1920x1088_24fps_10bit_420.yuv,4.16E+01,3.00E+01
BStreetDancerS4IRIS_1920x1088_24fps_10bit_420.yuv,5.70E+01,2.97E+01
BStreetDancerS5IRIS_1920x1088_24fps_10bit_420.yuv,4.27E+01,2.35E+01
BStreetsOfIndiaS1Harmonics_1920x1088_60fps_10bit_420.yuv,6.32E+01,1.72E+01
BStreetsOfIndiaS2Harmonics_1920x1088_60fps_10bit_420.yuv,6.92E+01,1.08E+01
BStreetsOfIndiaS3Harmonics_1920x1088_60fps_10bit_420.yuv,6.38E+01,2.85E+01
BTaiChiHongKongS1Videvo_1920x1088_25fps_10bit_420.yuv,4.23E+01,2.24E+01
BTaiChiHongKongS2Videvo_1920x1088_25fps_10bit_420.yuv,4.85E+01,2.30E+01
BTaipeiCityRooftops8Videvo_1920x1088_25fps_10bit_420.yuv,8.24E+01,1.13E+01
BTaipeiCityRooftopsS1Videvo_1920x1088_25fps_10bit_420.yuv,4.73E+01,1.91E+01
BTaipeiCityRooftopsS2Videvo_1920x1088_25fps_10bit_420.yuv,5.96E+01,1.55E+01
BTaksinBridgeVidevo_1920x1088_23fps_10bit_420.yuv,4.87E+01,9.39E+00
BTallBuildingsSJTU_1920x1088_60fps_10bit_420.yuv,8.22E+01,8.03E+00
BTennisMCLV_1920x1088_24fps_10bit_420.yuv,4.22E+01,2.86E+01
BToddlerFountain2Netflix_1920x1088_60fps_10bit_420.yuv,6.83E+01,2.90E+01
BTouristsSatOutsideVidevo_1920x1088_25fps_10bit_420.yuv,4.65E+01,1.03E+01
BToyCalendarHarmonics_1920x1088_60fps_10bit_420.yuv,5.36E+01,2.22E+01
BTrackingDownHongKongSideVidevo_1920x1088_25fps_10bit_420.yuv,6.68E+01,1.85E+01
BTrackingPastRestaurantVidevo_1920x1088_25fps_10bit_420.yuv,5.30E+01,3.60E+01
BTrackingPastStallHongKongVidevo_1920x1088_25fps_10bit_420.yuv,6.57E+01,2.99E+01
BTraditionalIndonesianKecakVidevo_1920x1088_25fps_10bit_420.yuv,3.27E+01,2.06E+01
BTrafficandBuildingSJTU_1920x1088_60fps_10bit_420.yuv,6.80E+01,9.90E+00
BTrafficFlowSJTU_1920x1088_60fps_10bit_420.yuv,5.68E+01,1.59E+01
BTrafficonTasksinBridgeVidevo_1920x1088_25fps_10bit_420.yuv,5.07E+01,9.75E+00
BTreeWillsBVITexture_1920x1088_120fps_10bit_420.yuv,1.29E+02,2.73E+00
BTruckIRIS_1920x1088_24fps_10bit_420.yuv,6.24E+01,1.75E+01
BTunnelFlagS1Harmonics_1920x1088_60fps_10bit_420.yuv,1.06E+02,5.80E+01
BUnloadingVegetablesVidevo_1920x1088_25fps_10bit_420.yuv,6.59E+01,3.19E+01
BVegetableMarketS1LIVENetFlix_1920x1088_30fps_10bit_420.yuv,5.58E+01,2.10E+01
BVegetableMarketS2LIVENetFlix_1920x1088_30fps_10bit_420.yuv,5.58E+01,2.21E+01
BVegetableMarketS3LIVENetFlix_1920x1088_30fps_10bit_420.yuv,4.40E+01,9.14E+00
BVegetableMarketS4LIVENetFlix_1920x1088_30fps_10bit_420.yuv,5.51E+01,2.96E+01
BVeniceS2Harmonics_1920x1088_60fps_10bit_420.yuv,5.59E+01,8.22E+00
BVeniceSceneIRIS_1920x1088_24fps_10bit_420.yuv,9.24E+01,2.54E+01
BWalkingDownKhaoStreetVidevo_1920x1088_25fps_10bit_420.yuv,6.07E+01,2.02E+01
BWalkingDownNorthRodeoVidevo_1920x1088_25fps_10bit_420.yuv,7.69E+01,1.73E+01
BWalkingThroughFootbridgeVidevo_1920x1088_25fps_10bit_420.yuv,7.24E+01,1.90E+01
BWaterS65Mitch_1920x1088_24fps_10bit_420.yuv,4.30E+01,3.13E+01
BWaterS81Mitch_1920x1088_24fps_10bit_420.yuv,9.80E+01,2.39E+01
BWatPhoTempleVidevo_1920x1088_50fps_10bit_420.yuv,5.53E+01,2.32E+01
BWoodSJTU_1920x1088_60fps_10bit_420.yuv,1.12E+02,3.28E+01
BWovenVidevo_1920x1088_25fps_10bit_420.yuv,5.60E+01,2.61E+01
CAdvertisingMassagesBangkokVidevo_960x544_25fps_10bit_420.yuv,8.56E+01,1.47E+01
CAmericanFootballS2Harmonics_960x544_60fps_10bit_420.yuv,1.14E+02,1.47E+00
CAmericanFootballS3Harmonics_960x544_60fps_10bit_420.yuv,6.69E+01,1.70E+01
CAmericanFootballS4Harmonics_960x544_60fps_10bit_420.yuv,8.02E+01,2.06E+01
CAnimalsS11Harmonics_960x544_60fps_10bit_420.yuv,9.18E+01,2.57E+01
CAnimalsS1Harmonics_960x544_60fps_10bit_420.yuv,6.33E+01,1.69E+01
CBangkokMarketVidevo_960x544_25fps_10bit_420.yuv,5.92E+01,1.27E+01
CBasketballGoalScoredS1Videvo_960x544_25fps_10bit_420.yuv,6.14E+01,3.99E+01
CBasketballGoalScoredS2Videvo_960x544_25fps_10bit_420.yuv,6.97E+01,3.69E+01
CBasketballS1YonseiUniversity_960x544_30fps_10bit_420.yuv,6.74E+01,2.98E+01
CBasketballS2YonseiUniversity_960x544_30fps_10bit_420.yuv,7.00E+01,1.14E+01
CBasketballS3YonseiUniversity_960x544_30fps_10bit_420.yuv,6.92E+01,1.29E+01
CBoatsChaoPhrayaRiverVidevo_960x544_23fps_10bit_420.yuv,6.12E+01,1.01E+01
CBobbleheadBVIHFR_960x544_120fps_10bit_420.yuv,5.71E+01,2.24E+01
CBookcaseBVITexture_960x544_120fps_10bit_420.yuv,1.02E+02,4.90E+01
CBoxingPracticeHarmonics_960x544_60fps_10bit_420.yuv,8.68E+01,1.69E+01
CBricksBushesStaticBVITexture_960x544_120fps_10bit_420.yuv,1.41E+02,6.52E+00
CBricksLeavesBVITexture_960x544_120fps_10bit_420.yuv,1.47E+02,1.39E+01
CBricksTiltingBVITexture_960x544_120fps_10bit_420.yuv,1.35E+02,1.54E+01
CBubblesPitcherS1BVITexture_960x544_120fps_10bit_420.yuv,2.19E+01,4.58E+00
CBuildingRoofS1IRIS_960x544_24fps_10bit_420.yuv,6.26E+01,1.97E+01
CBuildingRoofS2IRIS_960x544_24fps_10bit_420.yuv,1.01E+02,3.02E+01
CBuildingRoofS3IRIS_960x544_24fps_10bit_420.yuv,7.94E+01,1.72E+01
CBuildingRoofS4IRIS_960x544_24fps_10bit_420.yuv,8.39E+01,2.99E+01
CBuntingHangingAcrossHongKongVidevo_960x544_25fps_10bit_420.yuv,6.44E+01,1.21E+01
CBusyHongKongStreetVidevo_960x544_25fps_10bit_420.yuv,9.36E+01,2.32E+01
CCalmingWaterBVITexture_960x544_120fps_10bit_420.yuv,7.55E+01,2.53E+01
CCarpetPanAverageBVITexture_960x544_120fps_10bit_420.yuv,3.59E+01,1.64E+01
CCatchBVIHFR_960x544_120fps_10bit_420.yuv,9.68E+01,6.12E+00
CCeramicsandSpicesMoroccoVidevo_960x544_50fps_10bit_420.yuv,7.87E+01,1.07E+01
CCharactersYonseiUniversity_960x544_30fps_10bit_420.yuv,1.37E+02,3.32E+01
CChristmasPresentsIRIS_960x544_24fps_10bit_420.yuv,7.64E+01,2.34E+01
CChristmasRoomDareful_960x544_29fps_10bit_420.yuv,9.09E+01,5.50E+00
CChurchInsideMCLJCV_960x544_30fps_10bit_420.yuv,7.14E+01,1.06E+01
CCityScapesS1IRIS_960x544_24fps_10bit_420.yuv,8.96E+01,2.92E+01
CCityScapesS2IRIS_960x544_24fps_10bit_420.yuv,8.17E+01,2.31E+01
CCityScapesS3IRIS_960x544_24fps_10bit_420.yuv,8.08E+01,2.31E+01
CCityStreetS1IRIS_960x544_24fps_10bit_420.yuv,9.15E+01,2.96E+01
CCityStreetS3IRIS_960x544_24fps_10bit_420.yuv,1.21E+02,1.32E+01
CCityStreetS4IRIS_960x544_24fps_10bit_420.yuv,8.26E+01,3.09E+01
CCityStreetS5IRIS_960x544_24fps_10bit_420.yuv,8.91E+01,4.33E+01
CCityStreetS6IRIS_960x544_24fps_10bit_420.yuv,9.09E+01,4.16E+01
CCityStreetS7IRIS_960x544_24fps_10bit_420.yuv,8.66E+01,2.23E+01
CCloseUpBasketballSceneVidevo_960x544_25fps_10bit_420.yuv,9.58E+01,2.32E+01
CCloudsStaticBVITexture_960x544_120fps_10bit_420.yuv,2.73E+01,6.97E-01
CColourfulDecorationWatPhoVidevo_960x544_50fps_10bit_420.yuv,7.35E+01,1.60E+01
CColourfulKoreanLanternsVidevo_960x544_50fps_10bit_420.yuv,6.34E+01,1.60E+01
CColourfulPaperLanternsVidevo_960x544_50fps_10bit_420.yuv,8.06E+01,1.52E+01
CColourfulRugsMoroccoVidevo_960x544_50fps_10bit_420.yuv,8.43E+01,1.91E+01
CConstructionS2YonseiUniversity_960x544_30fps_10bit_420.yuv,1.04E+02,2.01E+01
CCostaRicaS3Harmonics_960x544_60fps_10bit_420.yuv,9.86E+01,9.80E+00
CCrosswalkHarmonics_960x544_60fps_10bit_420.yuv,5.14E+01,1.55E+01
CCrosswalkHongKong2S1Videvo_960x544_25fps_10bit_420.yuv,8.81E+01,2.53E+01
CCrosswalkHongKong2S2Videvo_960x544_25fps_10bit_420.yuv,7.98E+01,2.65E+01
CCrosswalkHongKongVidevo_960x544_25fps_10bit_420.yuv,6.60E+01,2.04E+01
CCrowdRunMCLV_960x544_25fps_10bit_420.yuv,9.98E+01,2.70E+01
CCyclistS1BVIHFR_960x544_120fps_10bit_420.yuv,9.23E+01,2.95E+01
CCyclistVeniceBeachBoardwalkVidevo_960x544_25fps_10bit_420.yuv,7.13E+01,1.63E+01
CDollsScene1YonseiUniversity_960x544_30fps_10bit_420.yuv,6.13E+01,1.73E+01
CDollsScene2YonseiUniversity_960x544_30fps_10bit_420.yuv,6.43E+01,2.60E+01
CDowntownHongKongVidevo_960x544_25fps_10bit_420.yuv,7.96E+01,1.90E+01
CDrivingPOVHarmonics_960x544_60fps_10bit_420.yuv,8.98E+01,1.50E+01
CDropsOnWaterBVITexture_960x544_120fps_10bit_420.yuv,9.42E+01,4.17E+01
CElFuenteMaskLIVENetFlix_960x544_24fps_10bit_420.yuv,1.06E+02,3.64E+01
CEnteringHongKongStallS1Videvo_960x544_25fps_10bit_420.yuv,7.06E+01,1.88E+01
CEnteringHongKongStallS2Videvo_960x544_25fps_10bit_420.yuv,7.03E+01,2.38E+01
CeramicTileHighSpeedHighGran_300frames_1920x1080.yuv,2.78E+01,1.84E+01
CeramicTileHighSpeedLowGran_300frames_1920x1080.yuv,1.25E+01,1.17E+01
CeramicTileHighSpeedMedGran_300frames_1920x1080.yuv,2.18E+01,1.43E+01
CeramicTileLowSpeedHighGran_300frames_1920x1080.yuv,3.37E+01,7.86E+00
CeramicTileLowSpeedLowGran_300frames_1920x1080.yuv,1.50E+01,5.14E+00
CeramicTileLowSpeedMedGran_300frames_1920x1080.yuv,2.56E+01,6.66E+00
CeramicTileMedSpeedHighGran_300frames_1920x1080.yuv,3.07E+01,1.23E+01
CeramicTileMedSpeedLowGran_300frames_1920x1080.yuv,1.37E+01,7.23E+00
CeramicTileMedSpeedMedGran_300frames_1920x1080.yuv,2.31E+01,8.97E+00
CFerrisWheelTurningVidevo_960x544_50fps_10bit_420.yuv,8.89E+01,2.22E+01
CFireS18Mitch_960x544_24fps_10bit_420.yuv,4.78E+01,5.74E+01
CFireS21Mitch_960x544_24fps_10bit_420.yuv,5.11E+01,6.90E+01
CFireS71Mitch_960x544_24fps_10bit_420.yuv,6.32E+01,5.41E+01
CFirewoodS1IRIS_960x544_24fps_10bit_420.yuv,4.32E+01,1.83E+01
CFirewoodS2IRIS_960x544_25fps_10bit_420.yuv,3.40E+01,3.48E+01
CFitnessIRIS_960x544_24fps_10bit_420.yuv,5.11E+01,1.85E+01
CFjordsS1Harmonics_960x544_60fps_10bit_420.yuv,7.10E+01,4.70E+00
CFlagShootTUMSVT_960x544_50fps_10bit_420.yuv,6.00E+01,1.07E+01
